Functional module	KEGG KO ID	Annotation	Reference
Aerobic respiration	K07648	arcB; two-component system, OmpR family, aerobic respiration control sensor histidine kinase ArcB [EC:2.7.13.3]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Aerobic respiration	K00425	cydA; cytochrome d ubiquinol oxidase subunit I [EC:1.10.3.-]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Aerobic respiration	K00426	cydB; cytochrome d ubiquinol oxidase subunit II [EC:1.10.3.-]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Anoxygenic photosynthesis	K08929	pufM; photosynthetic reaction center M subunit	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Anoxygenic photosynthesis	K08940	pscA; photosystem P840 reaction center large subunit	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Anoxygenic photosynthesis	K08946	csmB; chlorosome envelope protein B	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Anoxygenic photosynthesis	K08944	fmoA; bacteriochlorophyll A protein	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Anoxygenic photosynthesis	K08930	pucA; light-harvesting protein B-800-850 alpha chain	A. H. Singh, T. Doerks, I. Letunic, J. Raes, P. Bork, Discovering Functional Novelty in Metagenomes: Examples from Light-Mediated Processes. J Bacteriol 191, 32-41 (2009); published online EpubJan (Doi 10.1128/Jb.01084-08).
Bacterial chemotaxis	K12368	dppA; dipeptide transport system substrate-binding protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Bacterial chemotaxis	K03776	aer; aerotaxis receptor	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Bacterial chemotaxis	K13924	cheBR; two-component system, chemotaxis family, CheB/CheR fusion protein [EC:3.1.1.61 2.1.1.80]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Bacterial chemotaxis	K10108	malE; maltose/maltodextrin transport system substrate-binding protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Bacterial chemotaxis	K00575	cheR; chemotaxis protein methyltransferase CheR [EC:2.1.1.80]	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Bacterial chemotaxis	K03413	cheY; two-component system, chemotaxis family, response regulator CheY	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
Bacterial chemotaxis	K10439	rbsB; ribose transport system substrate-binding protein	M. Kanehisa, S. Goto, Y. Sato, M. Kawashima, M. Furumichi, M. Tanabe, Data, information, knowledge and principle: back to metabolism in KEGG. Nucleic Acids Research 42, D199-205 (2014); published online EpubJan 2014 (10.1093/nar/gkt1076).
